Indice,Titulo,URL,URL_Valida,Categoria
0.,Lineamiento Técnico para la elaboración de Protocolos de Atención Integral,http://www.imss.gob.mx/sites/all/statics/profesionalesSalud/investigacionSalud/historico/programas/00-lineamiento-tecnico-protocolos-atencion.pdf,Si,Marco
1.,Política institucional para la atención de la salud de Grupos en Situación de Vulnerabilidad con enfoque de derechos humanos y perspectivas de género,http://www.imss.gob.mx/sites/all/statics/profesionalesSalud/investigacionSalud/historico/programas/01-politica-institucional-gsv.pdf,Si,Marco
2.,Hipertensión Arterial Sistémica,http://www.imss.gob.mx/sites/all/statics/profesionalesSalud/investigacionSalud/historico/programas/02-pai-hipertension-arterial-sistemica.pdf,Si,Patología
3.,"Diabetes Mellitus tipo 2. Prevención, diagnóstico y tratamiento",http://www.imss.gob.mx/sites/all/statics/profesionalesSalud/investigacionSalud/historico/programas/03-pai-dm-prevencion-diagnostico-y-tratamiento.pdf,Si,Patología
4.,Diabetes Mellitus tipo 2. Complicaciones crónicas,http://www.imss.gob.mx/sites/all/statics/profesionalesSalud/investigacionSalud/historico/programas/04-pai-dm-complicaciones-cronicas.pdf,Si,Patología
5.,Código Cerebro,http://www.imss.gob.mx/sites/all/statics/profesionalesSalud/investigacionSalud/historico/programas/05-pai-codigo-cerebro.pdf,Si,Urgencia
6.,Código Infarto,http://www.imss.gob.mx/sites/all/statics/profesionalesSalud/investigacionSalud/historico/programas/06-pai-codigo-infarto.pdf,Si,Urgencia
7.,Cáncer de mama,http://www.imss.gob.mx/sites/all/statics/profesionalesSalud/investigacionSalud/historico/programas/07-pai-cancer-de-mama.pdf,Si,Patología
8.,Enfermedad por el Virus de Inmunodeficiencia Humana (VIH),http://www.imss.gob.mx/sites/all/statics/profesionalesSalud/investigacionSalud/historico/programas/08-pai-enfermedad-por-virus-de-inmunodeficiencia-humana-(vih).pdf,Si,Patología
9.,Hemofilia hereditaria,http://www.imss.gob.mx/sites/all/statics/profesionalesSalud/investigacionSalud/historico/programas/09-pai-hemofilia-hereditaria.pdf,Si,Patología
10.,"COVID-19 Prevención, diagnóstico y tratamiento",http://www.imss.gob.mx/sites/all/statics/profesionalesSalud/investigacionSalud/historico/programas/10-covid-19-prevencion-diagnostico-y-tratamiento.pdf,Si,Patología
11.,Cáncer de próstata,http://www.imss.gob.mx/sites/all/statics/profesionalesSalud/investigacionSalud/historico/programas/11-pai-cancer-de-prostata.pdf,Si,Patología
12.,Enfermedad Pulmonar Obstructiva Crónica,http://www.imss.gob.mx/sites/all/statics/profesionalesSalud/investigacionSalud/historico/programas/12-pai-epoc.pdf,Si,Patología
13.,Esclerosis Múltiple,http://www.imss.gob.mx/sites/all/statics/profesionalesSalud/investigacionSalud/historico/programas/13-pai-esclerosis-multiple.pdf,Si,Patología
14.,Lumbalgia Inespecífica,http://www.imss.gob.mx/sites/all/statics/profesionalesSalud/investigacionSalud/historico/programas/14-pai-lumbalgia-inespecifica.pdf,Si,Patología
15.1,Algoritmos Clínico Terapéuticos,http://www.imss.gob.mx/sites/all/statics/profesionalesSalud/investigacionSalud/historico/programas/15.1-algoritmos-clinico-terapeuticos.pdf,Si,Marco
15.2,Algoritmos Clínico Terapéuticos,http://www.imss.gob.mx/sites/all/statics/profesionalesSalud/investigacionSalud/historico/programas/15.2-algoritmos-clinico-terapeuticos.pdf,Si,Marco
16.,Retinopatía Diabética,http://www.imss.gob.mx/sites/all/statics/profesionalesSalud/investigacionSalud/historico/programas/16-pai-retinopatia-diabetica.pdf,Si,Patología
17.,Insuficiencia Cardiaca y Trasplante de Corazón,http://www.imss.gob.mx/sites/all/statics/profesionalesSalud/investigacionSalud/historico/programas/17-PAI-Insuficiencia_Cardiaca_y_Trasplante_de_Coraz%C3%B3n.pdf,Si,Patología
18.,Mieloma Múltiple,http://www.imss.gob.mx/sites/all/statics/profesionalesSalud/investigacionSalud/historico/programas/18-PAI-Mieloma-Multiple.pdf,Si,Patología
19.,Asma Bronquial,http://www.imss.gob.mx/sites/all/statics/profesionalesSalud/investigacionSalud/historico/programas/19-PAI-Asma-Bronquial.pdf,Si,Patología
20.,Cervicalgia,http://www.imss.gob.mx/sites/all/statics/profesionalesSalud/investigacionSalud/historico/programas/20-PAI-Cervicalgia.pdf,Si,Patología
21.,Fractura de Cadera asociada a caída,http://www.imss.gob.mx/sites/all/statics/profesionalesSalud/investigacionSalud/historico/programas/21-PAI-Fractura-Cadera.pdf,Si,Patología
22.,Hombro Doloroso,http://www.imss.gob.mx/sites/all/statics/profesionalesSalud/investigacionSalud/historico/programas/22-PAI-Hombro-Doloroso.pdf,Si,Patología
27.,Sepsis,http://www.imss.gob.mx/sites/all/statics/profesionalesSalud/investigacionSalud/historico/programas/27-PAI-Sepsis.pdf,Si,Patología
29.,Cirrosis Hepática,http://www.imss.gob.mx/sites/all/statics/profesionalesSalud/investigacionSalud/historico/programas/29-PAI-Cirrosis-Hepatica.pdf,Si,Patología
